Lagoa,Ano,Mes,Mes.,Mes.num,Mes.ano,Prof.m,Cod.Prof,pH,cond.uS.cm,turb.NTU,OD.mg.L,Temp.oC,TDS.mg.L,Redoxe,Alc.meq.L,Chla.ug.L,P-tot.ug.L,PO4.ug.L,N-tot.ug.L,NH4.ug.L,NO3.ug.L,NO2.ug.L,Silicato.mg.L,Obs
CA,1999,janeiro,jan,1,1_1999,0,100,6.69,20,6.7,,29.6,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,0.25,,6.62,20,6.35,,29.7,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,0.5,,6.65,20,6.13,,29.7,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,0.75,,6.61,20,5.96,,29.7,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,1,,6.65,20,6.09,,29.7,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,1.25,,6.66,20,6.24,,29.7,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,1.5,10,6.66,20,6.45,,29.8,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,1.75,,6.6,20,6.43,,29.8,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,2,,6.57,20,6.42,,29.8,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,2.25,,6.59,20,6.55,,29.8,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,2.5,,6.62,20,6,,29.8,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,2.75,,6.55,20,6.16,,29.7,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,3,,6.5,20,6.62,,29.5,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,3.5,,6.48,20,5.13,,29.3,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,4,,6.42,20,4.39,,29.8,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,4.5,,6.12,19,2.49,,28.5,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,5,1,5.91,17,2.26,,28.2,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,5.5,,5.67,20,0.04,,27,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,6,,5.77,36,0.02,,26.1,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,6.5,,6.26,84,0.01,,24.9,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,7,,6.38,93,0,,23.8,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,7.5,,6.35,94,0,,22.9,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,8,0,6.28,95,0,,23.2,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,8.5,,6.25,97,0,,22.6,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,9,,6.23,102,0,,22.3,,,,,,,,,,,,
CA,1999,janeiro,jan,1,1_1999,9.5,,6.22,103,0,,22.3,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,0,100,8.02,36,,9.5,32.6,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,0.5,,8.04,36,,9.64,32.6,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,1,,8.03,36,,9.71,32.2,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,1.5,,8.12,36,,9.58,31.9,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,2,,8.08,36,,9.75,31.5,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,2.5,,8.05,36,,8.75,31.5,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,3,,8,36,,1.36,31.2,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,3.5,,7.38,36,,0.04,30.9,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,4,,6.24,36,,0.02,29.9,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,4.5,,6.11,37,,0,29.3,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,5,,6.17,47,,0,29,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,5.5,,6.26,58,,0,28.6,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,6,,6.39,66,,0,28.2,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,6.5,,6.42,80,,0,27.4,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,7,,6.57,84,,0,26.8,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,7.5,,6.6,90,,0,26.1,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,8,,6.57,104,,0,25.6,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,8.5,,6.74,169,,0,25.3,,,,,,,,,,,,
JA,1999,janeiro,jan,1,1_1999,9,,6.82,199,,0,25.2,,,,,,,,,,,,
AC,1999,janeiro,jan,1,1_1999,0,100,7.22,41,,6.7,32.6,,,,,,,,,,,,
AC,1999,janeiro,jan,1,1_1999,0.5,,7.23,41,,7.08,32.1,,,,,,,,,,,,
AC,1999,janeiro,jan,1,1_1999,1,,7.19,41,,6.98,31.7,,,,,,,,,,,,
AC,1999,janeiro,jan,1,1_1999,1.5,,7.24,41,,7.24,31.5,,,,,,,,,,,,
AC,1999,janeiro,jan,1,1_1999,2,,7.21,41,,7.04,31.4,,,,,,,,,,,,
AC,1999,janeiro,jan,1,1_1999,2.5,,7.21,41,,7.26,31.2,,,,,,,,,,,,
AC,1999,janeiro,jan,1,1_1999,3,,7.19,41,,7.32,31.2,,,,,,,,,,,,
AC,1999,janeiro,jan,1,1_1999,3.5,,7.23,41,,6.95,31.1,,,,,,,,,,,,
AC,1999,janeiro,jan,1,1_1999,4,,7.09,41,,7.12,30.8,,,,,,,,,,,,
AC,1999,janeiro,jan,1,1_1999,4.5,,6.91,41,,6.58,30.2,,,,,,,,,,,,
AC,1999,janeiro,jan,1,1_1999,5,,6.81,41,,6.46,30,,,,,,,,,,,,
AC,1999,janeiro,jan,1,1_1999,5.5,,6.76,41,,6.37,29.8,,,,,,,,,,,,
AC,1999,janeiro,jan,1,1_1999,6,,6.61,39,,1.82,29.1,,,,,,,,,,,,
AC,1999,janeiro,jan,1,1_1999,6.5,,6.16,53,,0.14,28.1,,,,,,,,,,,,
AC,1999,janeiro,jan,1,1_1999,7,,6.18,80,,0.01,27.3,,,,,,,,,,,,
AC,1999,janeiro,jan,1,1_1999,7.5,,6.36,94,,0.01,26.7,,,,,,,,,,,,
AM,1999,janeiro,jan,1,1_1999,0,100,6.78,69,,7.13,29.7,,,,,,,,,,,,
AM,1999,janeiro,jan,1,1_1999,0.5,,6.78,69,,7.13,29.7,,,,,,,,,,,,
AM,1999,janeiro,jan,1,1_1999,0.75,,6.14,74,,3.88,29.1,,,,,,,,,,,,
AM,1999,janeiro,jan,1,1_1999,1.25,,6.14,74,,3.88,29.1,,,,,,,,,,,,
AM,1999,janeiro,jan,1,1_1999,1.5,,5.99,76,,4.27,29.4,,,,,,,,,,,,
AM,1999,janeiro,jan,1,1_1999,2,,5.99,76,,4.27,29.4,,,,,,,,,,,,
AR,1999,janeiro,jan,1,1_1999,0,100,7.12,29,,7.56,33.5,,,,,,,,,,,,
AR,1999,janeiro,jan,1,1_1999,0.5,,7,24,,7.48,33,,,,,,,,,,,,
AR,1999,janeiro,jan,1,1_1999,1,,7.08,24,,7.7,32.6,,,,,,,,,,,,
AR,1999,janeiro,jan,1,1_1999,1.5,,7.18,24,,7.92,32.3,,,,,,,,,,,,
AR,1999,janeiro,jan,1,1_1999,2,,7.21,24,,7.54,31.9,,,,,,,,,,,,
AR,1999,janeiro,jan,1,1_1999,2.5,,7.26,24,,7.6,31.5,,,,,,,,,,,,
AR,1999,janeiro,jan,1,1_1999,3,,7.15,24,,7.76,31.4,,,,,,,,,,,,
AR,1999,janeiro,jan,1,1_1999,3.5,,7.08,24,,7.63,31.4,,,,,,,,,,,,
AR,1999,janeiro,jan,1,1_1999,4,,6.9,24,,7.18,30.9,,,,,,,,,,,,
AR,1999,janeiro,jan,1,1_1999,4.5,,6.59,23,,5.55,30,,,,,,,,,,,,
AR,1999,janeiro,jan,1,1_1999,5,,6.26,21,,4.44,29.6,,,,,,,,,,,,
AR,1999,janeiro,jan,1,1_1999,5.5,,5.93,21,,0.97,28.9,,,,,,,,,,,,
AR,1999,janeiro,jan,1,1_1999,6,,6.18,0.2,,0.1,28.3,,,,,,,,,,,,
PA,1999,janeiro,jan,1,1_1999,0,100,6.29,39.6,,6.32,32.4,,,,,,,,,,,,
PA,1999,janeiro,jan,1,1_1999,0.5,,6.29,39.6,,6.32,32.4,,,,,,,,,,,,
PA,1999,janeiro,jan,1,1_1999,1.5,,6.82,39.6,,6.2,31.9,,,,,,,,,,,,
PA,1999,janeiro,jan,1,1_1999,2,,6.82,39.6,,6.2,31.9,,,,,,,,,,,,
PA,1999,janeiro,jan,1,1_1999,4.5,,5.3,35.6,,3.92,29,,,,,,,,,,,,
PA,1999,janeiro,jan,1,1_1999,5,,5.3,35.6,,3.92,29,,,,,,,,,,,,
DH,1999,julho,jul,7,7_1999,0,100,5.76,53.4,,6.4864,25.1,,,0.016,5.8806,6.45,0.77,693.1,178.55,11.85,0.91,22.02,
DH,1999,julho,jul,7,7_1999,4.5,10,5.89,52.5,,6.4864,25.2,,,0.016,7.2171,9.05,1.39,721.9,171.8,15.36,1.07,21.24,
DH,1999,julho,jul,7,7_1999,13,1,5.6,54.6,,4.40878,24.4,,,0.016,6.4152,8.5,1.5,674.55,184.35,13.9,0.96,27.05,
DH,1999,julho,jul,7,7_1999,20,0,5.43,54.2,,0.9121,24.2,,,0.015,2.9403,14.49,1.2,902.1,276.9,9.58,0.81,24.02,
BA,1999,julho,jul,7,7_1999,0,100,5.78,69.3,,8.1081,24.5,,,0.022,15.2361,18.59,3.6,861.45,382.4,56.01,1.58,40.25,
BA,1999,julho,jul,7,7_1999,2,,5.78,71,,6.68918,24.2,,,0.023,10.4247,19.94,1.67,878.2,403.7,66.239,1.761,40.06,
BA,1999,julho,jul,7,7_1999,4,,5.86,72.6,,5.1689,24.1,,,0.022,17.9091,19.94,1.713,750.5,452.3,54.94,1.98,41.49,
BA,1999,julho,jul,7,7_1999,5.5,,5.59,73.9,,2.38175,24.4,,,0.023,1.8711,25.63,3.856,660.2,551,57.41,2.49,38.72,
SH,1999,julho,jul,7,7_1999,0,100,6.67,58,,9.6283,24.6,,,0.015,21.6513,15.53,1.73,569.55,33.28,7.96,0.72,33.38,
SH,1999,julho,jul,7,7_1999,3,,6.68,57.7,,10.895,24.7,,,0.015,27.2646,20.61,1.69,892.6,63.84,7.56,1.22,30.06,
SH,1999,julho,jul,7,7_1999,6.5,,6.96,57.3,,10.6925,25.2,,,0.015,30.7395,17.59,1.436,1051.7,74.21,11.66,1.22,31.31,
SH,1999,julho,jul,7,7_1999,8,,6.91,58.3,,10.5912,25.9,,,0.014,47.0448,19.99,1.35,877,73.79,11.22,1.27,33.72,
JA,1999,agosto,ago,8,8_1999,0,100,6.54,61,,7.7027,22.9,,,0.019,10.692,24.64,2.31,389.9,122.2,45.686,1.834,35.25,
JA,1999,agosto,ago,8,8_1999,3,10,6.24,59.9,,7.1452,26.6,,,0.019,16.5726,21.43,1.76,312.15,107.6,48.37,1.83,35.01,
JA,1999,agosto,ago,8,8_1999,6,1,5.78,60.3,,7.4493,24.1,,,0.019,14.4342,18.73,2.31,615.55,120.4,48.341,2.199,33.6,
JA,1999,agosto,ago,8,8_1999,7,0,5.4,63.3,,6.8412,23.9,,,0.019,6.4152,21.79,3.77,640.7,246.25,42.643,2.857,33.01,
